	abuseCount	customerNickname	helpfulNo	helpfulYes	id	imagesCount	languageCode	postedDate	productId	profileInfo.ugcSummary.answerCount	profileInfo.ugcSummary.reviewCount	ratingValue	reviewText	reviewTitle	reviewed	score	languageCode.1	country	translation.reviewText	translation.reviewTitle	newReviewText	polarity	Sentiment
0	0	iHerb Customer	0	0	c2d6b926-78b6-4ca3-90d3-23b96c0c9ac7	0	en-US	2021-02-06T12:46:05.712Z	99829	0.0	15.0	50	good and comfy	good and comfy	False	1612615566	en	US			good and comfy	0.7	positive
1	0	iHerb Customer	0	0	6094d104-1216-40aa-903d-74e98f939558	0	ru-RU	2021-02-06T07:01:31.423Z	99829	0.0	335.0	50	Купила всей семье на период пандемии, очень удобные, подбираются по размеру.	Рекомендую	False	1612594891	ru	RU	Bought for the whole family for the period of the pandemic, very comfortable, matched to the size.	en-US	Bought for the whole family for the period of the pandemic, very comfortable, matched to the size.	0.36	positive
2	0	iHerb Customer	0	0	bb102f95-fd45-4534-9f2a-d011fd7cb085	0	en-US	2021-02-05T14:18:31.551Z	99829	0.0	25.0	40	It hurts the ears a little if you wear it for long time	Good	False	1612534712	en	US			It hurts the ears a little if you wear it for long time	-0.11875	negative
3	0	iHerb Customer	0	0	fc38ffce-201a-45bd-9698-1bce39a673af	0	ar-SA	2021-02-05T12:03:11.928Z	99829	1.0	43.0	50	جميله تبقى مثل ما هي بعد الغسيل	ممتاز!	False	1612526592	ar	SA	Pretty like after washing	en-US	Pretty like after washing	0.25	positive
4	0	iHerb Customer	0	0	c1e2708f-c584-49aa-b19f-7fef1672c796	0	en-US	2021-02-04T17:21:53.418Z	99829	0.0	173.0	40	4	Хорошо	False	1612459313	en	US			4	0.0	positive
5	0	iHerb Customer	0	0	14a78623-64b7-46d6-84e2-1d6553461500	0	ru-RU	2021-02-02T07:14:15.678Z	99829	0.0	506.0	50	Рекомендую!	Прекрасно!	False	1612250056	ru	RU	Recommend!	en-US	Recommend!	0.0	positive
6	0	iHerb Customer	0	0	0bcd111c-47b3-4704-b08c-8d4605208286	0	ru-RU	2021-02-01T21:21:13.231Z	99829	0.0	92.0	50	Мужу понравилась маска! дышать в ней весь день значительно легче, чем в обычных медицинских!	Прекрасно!	False	1612214473	ru	RU	My husband liked the mask! it is much easier to breathe in it all day than in conventional medical ones!	en-US	My husband liked the mask! it is much easier to breathe in it all day than in conventional medical ones!	0.2017857142857143	positive
7	0	iHerb Customer	0	0	7eeb3d83-22ed-44a8-b700-ca6659630d39	0	ru-RU	2021-02-01T18:38:29.454Z	99829	1.0	48.0	50	Хорошая маска, но дороговато	Excellent!	False	1612204709	ru	RU	Nice mask, but pricey	en-US	Nice mask, but pricey	0.6	positive
8	0	iHerb Customer	0	0	530dbbc7-7974-4776-a21e-1dc1c39ad112	0	ja-JP	2021-02-01T07:24:37.019Z	99829	0.0	10.0	50	質も良くて丈夫です。 旦那とお揃いで購入しました。	とても素晴らしい！	False	1612164277	ja	JP	The quality is good and durable. I bought it with my husband.	en-US	The quality is good and durable. I bought it with my husband.	0.7	positive
9	0	iHerb Customer	0	0	4db916c4-4b0c-46ec-83ee-53038fc271bc	0	ru-RU	2021-01-31T05:26:57.969Z	99829	0.0	62.0	50	Очень хорошая маска👍🏼 удобная, легко в ней дышать. Настолько комфортная, что забываю что я в ней👍🏼	Прекрасно!	False	1612070818	ru	RU	Very good mask👍🏼 comfortable, easy to breathe in. So comfortable that I forget that I&#39;m in it👍🏼	en-US	Very good mask👍🏼 comfortable, easy to breathe in. So comfortable that I forget that I&#39;m in it👍🏼	0.5358333333333334	positive
